,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
46,46,0.363,3.5,1.3,3.4,0.4,3.4,0.44,11.5,5.1,0.822,4.6,3.7,476,31.1,0.7,1.8,15.1,Gordon Hayward *,4.1,1.0,2.1,UTA
47,47,0.367,4.9,1.8,1.9,0.5,3.9,0.416,10.9,4.5,0.858,4.9,4.2,431,31.0,0.8,1.9,15.1,Danilo Gallinari *,4.6,0.8,1.3,-
48,48,0.348,5.0,1.7,5.8,0.2,2.5,0.39,13.6,5.3,0.797,3.3,2.7,498,31.6,0.6,1.8,15.0,Brandon Jennings *,3.1,1.3,2.3,-
49,49,0.329,2.5,0.8,2.8,0.4,3.3,0.446,10.7,4.8,0.825,5.3,4.4,361,31.8,1.4,1.4,14.8,Jimmy Butler *,4.7,1.4,1.3,CHI
50,50,0.41,4.2,1.7,2.7,0.3,2.0,0.453,12.3,5.6,0.821,2.2,1.8,220,25.5,0.5,2.0,14.7,C.J. McCollum *,2.5,0.9,1.7,POR
51,51,0.323,0.3,0.1,3.1,1.5,5.8,0.499,11.1,5.5,0.769,4.6,3.5,607,33.7,1.9,3.0,14.7,Marc Gasol *,7.7,0.9,2.0,MEM
52,52,0.34,0.7,0.2,2.8,1.2,6.5,0.531,11.5,6.1,0.747,2.5,1.9,606,33.4,2.3,2.4,14.4,Al Horford *,8.8,0.8,1.6,-
53,53,0.262,0.2,0.1,2.2,0.8,4.9,0.492,11.8,5.8,0.818,3.3,2.7,932,29.8,1.8,2.4,14.4,David West *,6.7,0.8,1.7,-
54,54,0.0,0.0,0.0,2.3,0.6,5.9,0.509,11.1,5.7,0.702,4.1,2.9,493,30.2,3.0,2.3,14.2,Greg Monroe *,9.0,1.2,2.0,-
55,55,0.367,2.9,1.1,6.1,0.4,2.7,0.438,12.7,5.6,0.794,2.4,1.9,461,32.1,0.8,2.3,14.1,Jrue Holiday *,3.5,1.4,2.6,-
56,56,0.386,5.5,2.1,2.1,0.2,2.5,0.431,11.2,4.8,0.827,2.8,2.3,556,32.7,0.6,2.2,14.1,Wesley Matthews *,3.1,1.1,1.3,-
57,57,0.379,4.4,1.7,4.0,0.2,2.0,0.444,11.6,5.2,0.845,2.5,2.1,1317,30.7,0.4,1.9,14.1,Jason Terry *,2.4,1.2,1.8,-
58,58,0.331,1.1,0.4,2.2,1.0,5.2,0.495,10.8,5.3,0.733,4.1,3.0,803,29.3,2.3,3.2,14.0,Paul Millsap *,7.5,1.3,1.8,-
59,59,0.365,4.2,1.5,5.8,0.3,3.2,0.423,10.6,4.5,0.799,4.3,3.4,691,30.7,0.8,2.7,14.0,Kyle Lowry *,4.1,1.4,2.2,-
60,60,0.34,3.4,1.1,2.7,0.1,2.5,0.439,12.2,5.4,0.808,2.5,2.0,180,28.7,1.0,1.9,13.9,Jordan Clarkson *,3.5,1.1,1.7,LAL
61,61,0.34,3.9,1.3,1.8,0.7,4.3,0.443,12.2,5.4,0.771,2.3,1.8,479,31.1,1.2,2.8,13.9,Wilson Chandler *,5.4,0.8,1.5,-
62,62,0.034,0.0,0.0,2.2,0.4,6.4,0.534,10.6,5.6,0.774,3.3,2.6,787,29.8,2.6,2.7,13.9,David Lee *,9.0,0.8,1.8,-
63,63,0.37,3.9,1.5,3.9,0.3,3.0,0.448,10.0,4.5,0.827,4.1,3.4,955,26.1,0.7,2.1,13.8,Manu Ginobili *,3.6,1.4,2.1,SAS
64,64,0.331,1.3,0.4,1.5,0.4,3.9,0.499,11.9,5.9,0.683,2.3,1.6,703,30.7,2.0,2.2,13.8,Thaddeus Young *,5.9,1.4,1.5,-
65,65,0.352,5.1,1.8,3.7,0.2,3.0,0.408,12.4,5.0,0.747,2.6,1.9,109,28.0,0.6,1.9,13.8,D'Angelo Russell *,3.5,1.2,2.5,LAL
66,66,0.376,3.2,1.2,5.6,0.2,2.5,0.44,11.4,5.0,0.81,3.1,2.5,665,32.5,0.4,2.0,13.8,Mike Conley *,2.9,1.5,2.0,MEM
67,67,0.337,3.0,1.0,1.6,0.6,3.8,0.437,11.5,5.0,0.789,3.3,2.6,674,31.6,1.0,2.3,13.7,Jeff Green *,4.8,0.8,1.6,-
68,68,0.386,3.8,1.5,3.3,0.2,2.5,0.447,11.4,5.1,0.825,2.5,2.1,196,28.5,0.4,2.2,13.7,Zach LaVine *,2.9,0.8,2.2,MIN
69,69,0.284,1.3,0.4,3.3,1.2,5.3,0.493,10.1,5.0,0.734,4.5,3.3,274,31.1,1.3,2.9,13.7,Giannis Antetokounmpo *,6.6,1.1,2.2,MIL
70,70,0.286,0.0,0.0,0.7,1.6,8.0,0.551,10.5,5.8,0.387,4.7,1.8,343,29.8,4.7,3.1,13.4,Andre Drummond *,12.7,1.2,1.5,DET
71,71,0.34,3.4,1.2,2.7,0.5,3.3,0.415,11.4,4.7,0.716,3.7,2.6,981,32.0,1.2,2.6,13.3,Metta World Peace *,4.5,1.7,1.8,-
72,72,0.38,5.5,2.1,0.9,0.4,3.5,0.424,10.8,4.6,0.863,2.3,2.0,524,26.4,2.1,2.0,13.2,Ryan Anderson *,5.5,0.6,1.0,-
73,73,0.378,3.5,1.3,4.9,0.1,2.3,0.434,11.4,5.0,0.871,2.2,1.9,818,29.2,0.5,2.5,13.2,Mo Williams *,2.8,0.9,2.3,-
74,74,0.333,2.8,0.9,4.5,0.5,4.3,0.462,10.2,4.7,0.714,3.9,2.8,938,35.0,1.0,1.9,13.1,Andre Iguodala *,5.3,1.6,2.1,-
75,75,0.377,2.4,0.9,2.1,0.3,3.3,0.464,9.7,4.5,0.769,4.1,3.1,1119,29.7,0.8,2.3,13.1,Richard Jefferson *,4.1,0.7,1.6,-
76,76,0.375,5.4,2.0,2.2,0.2,2.7,0.421,11.2,4.7,0.734,2.2,1.6,860,26.9,0.5,2.3,13.1,J.R. Smith *,3.2,1.0,1.4,-
77,77,0.299,1.4,0.4,3.6,0.1,2.3,0.425,10.7,4.6,0.825,4.0,3.3,629,27.9,0.7,2.1,12.8,Rodney Stuckey *,3.0,0.9,1.8,-
78,78,0.359,2.9,1.0,4.8,0.2,2.1,0.469,10.1,4.7,0.753,3.0,2.3,606,27.2,0.7,2.3,12.8,Goran Dragic *,2.9,1.0,2.2,-
79,79,0.362,2.5,0.9,6.0,0.1,2.1,0.459,10.0,4.6,0.768,3.5,2.7,519,29.5,0.6,1.6,12.7,Ty Lawson *,2.8,1.2,2.1,-
80,80,0.346,1.5,0.5,1.3,0.5,3.6,0.455,11.4,5.2,0.759,2.5,1.9,484,23.8,1.1,2.2,12.7,Michael Beasley *,4.8,0.6,1.7,-
81,81,0.374,2.1,0.8,4.8,0.1,2.2,0.467,10.0,4.7,0.851,2.9,2.5,525,29.4,0.5,1.7,12.6,Darren Collison *,2.6,1.1,2.1,-
82,82,0.313,3.5,1.1,4.9,0.4,3.0,0.366,12.7,4.6,0.71,3.1,2.2,104,29.9,0.5,2.0,12.6,Emmanuel Mudiay *,3.5,0.9,3.0,DEN
83,83,0.344,3.4,1.2,2.9,0.2,1.7,0.417,9.7,4.0,0.822,4.1,3.3,743,23.5,0.4,1.4,12.6,Lou Williams *,2.1,0.9,1.4,-
84,84,0.0,0.0,0.0,0.7,0.6,3.7,0.518,9.4,4.8,0.76,3.8,2.9,271,24.9,3.0,2.3,12.6,Nikola Pekovic *,6.7,0.5,1.5,MIN
85,85,0.355,5.0,1.8,2.2,0.2,2.8,0.416,10.9,4.5,0.816,2.2,1.8,164,28.2,0.3,2.5,12.6,Rodney Hood *,3.1,0.8,1.3,UTA
86,86,0.352,2.3,0.8,5.3,0.3,2.0,0.447,10.0,4.4,0.839,3.2,2.7,556,26.5,0.3,1.9,12.4,Jeff Teague *,2.3,1.2,2.2,-
87,87,0.328,3.0,1.0,5.8,0.2,2.5,0.412,11.1,4.6,0.789,2.6,2.0,814,32.2,0.6,2.1,12.1,Raymond Felton *,3.1,1.3,2.3,-
88,88,0.368,3.4,1.2,1.7,0.2,2.4,0.443,11.0,4.9,0.778,1.4,1.1,393,28.0,0.6,2.1,12.1,Avery Bradley *,3.0,1.1,1.4,BOS
89,89,0.341,0.4,0.1,1.6,0.3,4.9,0.493,10.1,5.0,0.74,2.7,2.0,735,25.7,1.8,2.8,12.0,Luis Scola *,6.7,0.6,1.5,-
90,90,0.136,0.1,0.0,1.9,0.8,4.6,0.545,8.4,4.6,0.663,4.3,2.9,839,27.8,1.8,3.1,12.0,Maybyner Nene *,6.4,1.1,1.9,-
91,91,0.254,0.5,0.1,2.4,0.4,7.6,0.448,10.4,4.6,0.71,3.6,2.6,119,28.5,2.1,3.1,12.0,Julius Randle *,9.7,0.7,2.1,LAL
92,92,0.118,0.0,0.0,1.1,0.9,5.4,0.543,8.9,4.8,0.651,3.6,2.3,381,26.1,3.2,2.6,12.0,Kenneth Faried *,8.6,0.8,1.4,DEN
93,93,0.376,3.7,1.4,1.0,0.2,1.7,0.42,10.1,4.2,0.834,2.5,2.1,611,23.5,0.4,1.9,11.9,Nick Young *,2.0,0.6,1.1,-
94,94,0.358,4.2,1.5,1.4,0.1,1.9,0.425,10.4,4.4,0.83,1.9,1.6,483,23.4,0.8,1.5,11.9,Marcus Thornton *,2.8,0.8,1.0,-
95,95,0.358,4.5,1.6,3.5,0.7,4.2,0.439,9.6,4.2,0.836,2.2,1.8,587,31.5,1.1,1.9,11.9,Nicolas Batum *,5.3,0.9,1.8,-
96,96,0.36,1.2,0.4,0.6,2.4,5.0,0.52,9.6,5.0,0.748,1.9,1.4,563,28.9,2.4,2.8,11.8,Serge Ibaka *,7.4,0.4,1.3,-
97,97,0.368,3.6,1.3,5.2,0.1,2.5,0.437,10.3,4.5,0.811,1.8,1.5,790,28.3,0.5,2.6,11.8,Jameer Nelson *,3.0,0.9,2.2,-
98,98,0.414,4.3,1.8,1.9,0.1,1.7,0.449,8.8,3.9,0.887,2.3,2.0,649,24.6,0.2,1.5,11.7,J.J. Redick *,1.9,0.4,1.0,-
99,99,0.323,1.9,0.6,1.7,0.6,4.1,0.445,10.2,4.5,0.763,2.6,2.0,408,25.9,1.4,2.9,11.6,Markieff Morris *,5.5,1.0,1.7,-
100,0,0.34,4.4,1.5,1.5,0.2,2.3,0.411,10.4,4.3,0.777,1.9,1.5,277,30.0,0.7,1.9,11.5,Kentavious Caldwell-Pope *,3.0,1.2,1.0,DET
101,1,0.324,2.5,0.8,4.3,0.2,2.0,0.437,8.8,3.8,0.795,3.9,3.1,803,25.9,0.3,2.2,11.5,Devin Harris *,2.3,1.1,1.9,-
102,2,0.143,0.0,0.0,1.1,1.3,4.8,0.509,9.0,4.6,0.667,3.4,2.3,454,25.8,2.5,2.8,11.5,Derrick Favors *,7.2,0.8,1.5,-
