,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
186,86,0.0,6,0,211,318,1269,0.535,1581,846,0.597,930,555,439,7359.7,629,1120,2247,Ian Mahinmi *,1898,231,403,-
187,87,0.318,44,14,406,317,1220,0.517,1642,849,0.776,661,513,253,6482.9,573,641,2225,Gorgui Dieng *,1793,233,383,MIN
188,88,0.368,593,218,385,112,753,0.463,1793,831,0.743,436,324,235,4873.4,325,685,2204,Kelly Olynyk *,1078,175,316,BOS
189,89,0.226,31,7,303,183,1075,0.465,1799,836,0.697,716,499,240,6432.1,436,512,2178,Michael Kidd-Gilchrist *,1511,160,262,CHA
190,90,0.43,1338,575,132,38,523,0.437,1718,751,0.877,114,100,467,5657.2,68,371,2177,Steve Novak *,591,91,81,-
191,91,0.369,179,66,270,46,515,0.494,1762,871,0.746,449,335,138,4408.7,231,273,2143,Jabari Parker *,746,138,220,MIL
192,92,0.369,775,286,228,16,487,0.442,1728,764,0.838,351,294,194,4964.2,103,292,2108,Bojan Bogdanovic *,590,78,244,BRK
193,93,0.355,816,290,365,34,454,0.416,1780,740,0.816,354,289,164,4628.4,57,402,2059,Rodney Hood *,511,125,211,UTA
194,94,0.339,566,192,250,30,615,0.463,1631,755,0.784,334,262,271,4212.9,205,343,1964,Mike Scott *,820,86,184,ATL
195,95,0.29,221,64,1227,63,540,0.436,1847,805,0.578,486,281,194,5745.9,216,428,1955,Elfrid Payton *,756,276,454,ORL
196,96,0.346,845,292,228,132,816,0.403,1535,618,0.798,531,424,184,4139.6,148,382,1952,Nikola Mirotic *,964,139,232,CHI
197,97,0.167,12,2,309,189,949,0.493,1439,709,0.736,709,522,249,5517.9,421,631,1942,Cody Zeller *,1370,153,253,CHA
198,98,0.0,1,0,160,629,1839,0.507,1410,715,0.549,902,495,404,8740.4,838,923,1925,Bismack Biyombo *,2677,105,366,-
199,99,0.0,3,0,215,273,1013,0.575,1335,768,0.583,662,386,270,6147.6,673,741,1922,Steven Adams *,1686,168,328,OKC
200,0,0.371,544,202,253,90,669,0.476,1585,754,0.758,269,204,223,5280.5,240,387,1914,Otto Porter *,909,214,166,WAS
201,1,0.0,3,0,243,466,1423,0.594,1114,662,0.605,850,514,228,5857.1,666,519,1838,Rudy Gobert *,2089,147,331,UTA
202,2,0.325,265,86,114,18,345,0.467,1414,661,0.743,499,371,191,3442.6,219,205,1779,Shabazz Muhammad *,564,59,149,MIN
203,3,0.34,474,161,316,29,246,0.417,1507,629,0.83,411,341,113,3351.6,48,339,1760,Devin Booker *,294,81,258,PHX
204,4,0.367,425,156,140,205,596,0.433,1441,624,0.819,387,317,107,3246.4,193,334,1721,Kristaps Porzingis *,789,79,184,NYK
205,5,0.5,2,1,253,249,832,0.495,1292,639,0.601,474,285,152,4417.1,352,415,1564,Nerlens Noel *,1184,262,305,PHI
206,6,0.167,12,2,156,239,962,0.459,1277,586,0.717,480,344,224,4470.4,435,633,1518,Alex Len *,1397,92,293,PHX
207,7,0.374,465,174,201,88,825,0.469,1237,580,0.828,209,173,261,4297.5,214,620,1507,Meyers Leonard *,1039,39,200,POR
208,8,0.352,551,194,402,23,322,0.408,1347,549,0.747,281,210,109,3053.8,63,202,1502,D'Angelo Russell *,385,131,273,LAL
209,9,0.4,530,212,192,40,372,0.45,1189,535,0.855,207,177,187,4059.7,48,360,1459,Allen Crabbe *,420,106,119,POR
210,10,0.3,656,197,549,51,442,0.362,1328,481,0.73,381,278,163,4527.7,168,440,1437,Marcus Smart *,610,237,237,BOS
211,11,0.254,59,15,285,48,906,0.448,1233,553,0.71,431,306,119,3389.0,245,372,1427,Julius Randle *,1151,83,248,LAL
212,12,0.301,322,97,233,96,603,0.455,1174,534,0.67,339,227,164,3689.3,251,315,1392,Aaron Gordon *,854,109,148,ORL
213,13,0.323,455,147,222,28,242,0.438,1146,502,0.78,223,174,147,3598.8,89,243,1325,Gary Harris *,331,150,152,DEN
214,14,0.313,367,115,513,44,313,0.366,1321,483,0.71,324,230,104,3112.1,53,210,1311,Emmanuel Mudiay *,366,94,309,DEN
215,15,0.333,123,41,313,69,552,0.536,895,480,0.807,280,226,113,2544.3,265,313,1227,Nikola Jokic *,817,98,159,DEN
216,16,0.397,383,152,96,8,265,0.445,976,434,0.844,135,114,143,2873.8,54,191,1134,Doug McDermott *,319,26,89,CHI
217,17,0.338,139,47,91,34,188,0.49,982,481,0.736,148,109,112,2410.8,143,206,1118,T.J. Warren *,331,91,83,PHX
218,18,0.379,253,96,238,51,292,0.444,840,373,0.75,236,177,105,2613.2,66,197,1019,Tyler Johnson *,358,98,116,MIA
219,19,0.388,529,205,365,17,380,0.432,835,361,0.753,93,70,200,3726.0,49,300,997,Joe Ingles *,429,163,202,UTA
220,20,0.0,5,0,135,142,513,0.462,874,404,0.601,313,188,127,2307.3,267,371,996,Jusuf Nurkic *,780,99,212,DEN
221,21,0.315,355,112,173,58,403,0.402,886,356,0.735,223,164,118,2615.8,102,180,988,Frank Kaminsky *,505,59,97,CHA
222,22,0.277,311,86,174,119,566,0.468,787,368,0.506,170,86,216,4451.5,212,446,908,Andre Roberson *,778,169,128,OKC
223,23,0.0,1,0,75,144,485,0.598,662,396,0.378,299,113,117,2246.7,270,279,905,Clint Capela *,755,71,103,HOU
224,24,0.365,277,101,110,33,360,0.425,748,318,0.715,137,98,120,2188.7,97,170,835,Trey Lyles *,457,44,110,UTA
225,25,0.391,133,52,122,81,274,0.513,602,309,0.828,122,101,158,2082.0,156,217,771,Mike Muscala *,430,54,94,ATL
226,26,0.298,258,77,158,26,311,0.37,732,271,0.75,132,99,109,2225.2,73,230,718,Stanley Johnson *,384,79,135,DET
227,27,0.0,0,0,63,166,433,0.513,536,275,0.557,291,162,170,2393.9,292,328,712,Festus Ezeli *,725,48,133,GSW
228,28,0.327,113,37,551,13,285,0.457,632,289,0.662,68,45,116,2365.7,57,172,660,T.J. McConnell *,342,145,199,PHI
229,29,0.31,336,104,246,22,149,0.365,583,213,0.726,62,45,111,2413.6,42,220,575,Dante Exum *,191,47,149,UTA
230,30,0.333,231,77,120,21,172,0.418,509,213,0.882,68,60,105,1626.8,33,139,563,Mario Hezonja *,205,46,115,ORL
231,31,0.391,179,70,188,2,119,0.438,464,203,0.753,73,55,101,1651.6,18,140,531,Raulzinho Neto *,137,70,116,UTA
232,32,0.323,62,20,182,46,360,0.439,456,200,0.748,115,86,144,2030.3,44,151,506,Kyle Anderson *,404,96,85,SAS
