,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,MIN,ORB,PF,PTS,REB,STL,TOV
209,0.318,0.7,0.2,0.9,0.4,2.8,0.447,5.4,2.4,0.658,1.9,1.2,23.3,1.6,1.8,6.3,4.4,0.9,1.0
210,0.359,3.0,1.1,0.9,0.3,2.6,0.411,4.9,2.0,0.78,1.2,0.9,19.6,0.9,1.6,6.1,3.5,0.4,0.6
211,0.305,0.5,0.2,0.7,0.5,2.6,0.466,5.6,2.6,0.651,0.9,0.6,21.2,1.2,1.8,6.0,3.8,0.7,0.5
212,0.21,0.1,0.0,1.1,0.5,3.3,0.533,4.6,2.5,0.727,1.4,1.0,20.9,2.0,2.8,6.0,5.3,0.5,1.0
213,0.343,1.7,0.6,1.5,0.5,3.1,0.448,5.1,2.3,0.733,1.1,0.8,23.2,0.8,1.7,5.9,3.9,1.1,0.9
214,0.374,1.8,0.7,0.8,0.3,3.2,0.469,4.7,2.2,0.828,0.8,0.7,16.5,0.8,2.4,5.8,4.0,0.1,0.8
215,0.327,1.0,0.3,4.8,0.1,2.5,0.457,5.4,2.5,0.662,0.6,0.4,20.4,0.5,1.5,5.7,2.9,1.2,1.7
216,0.0,0.0,0.0,0.4,0.8,3.1,0.533,4.7,2.5,0.599,1.1,0.6,16.1,1.8,2.0,5.6,4.9,0.4,0.7
217,0.0,0.0,0.0,0.6,0.7,5.1,0.529,3.9,2.1,0.554,2.3,1.3,20.0,2.3,2.0,5.5,7.4,0.4,1.2
218,0.341,1.3,0.5,2.1,0.5,2.8,0.464,4.6,2.1,0.705,1.0,0.7,19.2,1.1,1.9,5.4,3.9,0.5,0.9
219,0.221,0.1,0.0,0.5,1.4,3.3,0.532,3.6,1.9,0.654,2.3,1.5,17.7,1.7,1.9,5.4,5.0,0.4,0.7
220,0.368,2.5,0.9,1.3,0.1,1.5,0.393,4.8,1.9,0.866,0.8,0.7,15.5,0.3,1.5,5.4,1.9,0.6,0.6
221,0.333,2.2,0.7,1.1,0.2,1.6,0.418,4.8,2.0,0.882,0.6,0.6,15.5,0.3,1.3,5.4,2.0,0.4,1.1
